Ano e mês,Bairro/Rua,Data,Clima,Horário de Avaliação do Ponto,Périodo do dia,Direção,horas,minutos,bikes disponiveis para contratar
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1130 - 1145,Inter-peak (10:00-16:00),Northbound,21,30,3
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,0930 - 0945,AM peak (07:00-10:00),Northbound,6,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,0945 - 1000,AM peak (07:00-10:00),Northbound,6,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Wet,1000 - 1015,Inter-peak (10:00-16:00),Northbound,6,0,0
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1030 - 1045,Inter-peak (10:00-16:00),Northbound,6,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1045 - 1100,Inter-peak (10:00-16:00),Southbound,7,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1130 - 1145,Inter-peak (10:00-16:00),Northbound,6,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,0900 - 0915,AM peak (07:00-10:00),Northbound,14,0,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,0945 - 1000,AM peak (07:00-10:00),Southbound,15,45,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1030 - 1045,Inter-peak (10:00-16:00),Southbound,15,30,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1045 - 1100,Inter-peak (10:00-16:00),Northbound,14,45,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1100 - 1115,Inter-peak (10:00-16:00),Southbound,15,0,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1130 - 1145,Inter-peak (10:00-16:00),Southbound,15,30,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1800 - 1815,PM peak (16:00-19:00),Northbound,14,0,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1845 - 1900,PM peak (16:00-19:00),Northbound,14,45,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Wet,0915 - 0930,AM peak (07:00-10:00),Northbound,17,15,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,0930 - 0945,AM peak (07:00-10:00),Southbound,18,30,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Wet,1000 - 1015,Inter-peak (10:00-16:00),Southbound,18,0,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1015 - 1030,Inter-peak (10:00-16:00),Northbound,17,15,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1100 - 1115,Inter-peak (10:00-16:00),Northbound,17,0,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1115 - 1130,Inter-peak (10:00-16:00),Southbound,18,15,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1145 - 1200,Inter-peak (10:00-16:00),Northbound,17,45,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1800 - 1815,PM peak (16:00-19:00),Southbound,19,0,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1830 - 1845,PM peak (16:00-19:00),Southbound,19,30,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Wet,0915 - 0930,AM peak (07:00-10:00),Southbound,20,15,3
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1015 - 1030,Inter-peak (10:00-16:00),Southbound,20,15,3
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1115 - 1130,Inter-peak (10:00-16:00),Northbound,20,15,3
