Ano e mês,id,Bairro/Rua,Data,Clima,Horário de Avaliação do Ponto,Périodo do dia,Direção,horas,minutos,ignora 1,ignora 2,ignora 3
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qui., 22/03/18",Dry,0845 - 0900,AM peak (07:00-10:00),Northbound,8,45,20,4,24
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,0900 - 0915,AM peak (07:00-10:00),Northbound,9,0,24,1,25
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Wet,0915 - 0930,AM peak (07:00-10:00),Northbound,9,15,20,2,22
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,0930 - 0945,AM peak (07:00-10:00),Northbound,9,30,15,0,15
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,0945 - 1000,AM peak (07:00-10:00),Northbound,9,45,3,0,3
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Wet,1000 - 1015,Inter-peak (10:00-16:00),Northbound,10,0,4,0,4
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1015 - 1030,Inter-peak (10:00-16:00),Northbound,10,15,6,2,8
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1030 - 1045,Inter-peak (10:00-16:00),Northbound,10,30,3,0,3
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1045 - 1100,Inter-peak (10:00-16:00),Northbound,10,45,5,1,6
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1100 - 1115,Inter-peak (10:00-16:00),Northbound,11,0,4,2,6
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1115 - 1130,Inter-peak (10:00-16:00),Northbound,11,15,6,3,9
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1130 - 1145,Inter-peak (10:00-16:00),Northbound,11,30,3,0,3
2018 Q1 (January-March),2017-18 Q4,Regent Street,"ter., 20/03/18",Dry,1145 - 1200,Inter-peak (10:00-16:00),Northbound,11,45,7,2,9
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1200 - 1215,Inter-peak (10:00-16:00),Northbound,12,0,3,0,3
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1215 - 1230,Inter-peak (10:00-16:00),Northbound,12,15,12,1,13
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1230 - 1245,Inter-peak (10:00-16:00),Northbound,12,30,5,2,7
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1245 - 1300,Inter-peak (10:00-16:00),Northbound,12,45,6,1,7
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1300 - 1315,Inter-peak (10:00-16:00),Northbound,13,0,6,1,7
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1315 - 1330,Inter-peak (10:00-16:00),Northbound,13,15,8,0,8
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1330 - 1345,Inter-peak (10:00-16:00),Northbound,13,30,6,2,8
2018 Q1 (January-March),2017-18 Q4,Regent Street,"seg., 26/03/18",Dry,1345 - 1400,Inter-peak (10:00-16:00),Northbound,13,45,4,3,7
2018 Q1 (January-March),2017-18 Q4,Regent Street,"qua., 21/03/18",Dry,1400 - 1415,Inter-peak (10:00-16:00),Northbound,14,0,3,0,3
